Geographic Cluster Name,Month,Count
ALBANY PARK,2020-07,8
ALBANY PARK,2020-09,2
ALBANY PARK,2020-11,4
ALBANY PARK,2020-12,1
ALBANY PARK,2021-01,2
ALBANY PARK,2021-04,7
ALBANY PARK,2021-06,13
ALBANY PARK,2021-07,2
ALBANY PARK,2021-08,11
ALBANY PARK,2021-09,34
ALBANY PARK,2021-10,2
ALBANY PARK,2021-11,1
ALBANY PARK,2021-12,1
ALBANY PARK,2022-01,40
ALBANY PARK,2022-04,40
ALBANY PARK,2022-05,1
ALBANY PARK,2022-06,6
ALBANY PARK,2022-07,35
ALBANY PARK,2022-08,18
ALBANY PARK,2022-09,49
ALBANY PARK,2022-10,18
ALBANY PARK,2022-11,12
ALBANY PARK,2022-12,15
ALBANY PARK,2023-01,34
ALBANY PARK,2023-02,6
ALBANY PARK,2023-03,20
ALBANY PARK,2023-04,57
ARCHER HEIGHTS,2020-07,12
ARCHER HEIGHTS,2020-09,5
ARCHER HEIGHTS,2020-11,6
ARCHER HEIGHTS,2021-01,6
ARCHER HEIGHTS,2021-04,13
ARCHER HEIGHTS,2021-06,6
ARCHER HEIGHTS,2021-08,3
ARCHER HEIGHTS,2021-09,18
ARCHER HEIGHTS,2021-10,1
ARCHER HEIGHTS,2021-12,3
ARCHER HEIGHTS,2022-01,21
ARCHER HEIGHTS,2022-04,21
ARCHER HEIGHTS,2022-06,9
ARCHER HEIGHTS,2022-07,20
ARCHER HEIGHTS,2022-08,16
ARCHER HEIGHTS,2022-09,21
ARCHER HEIGHTS,2022-10,2
ARCHER HEIGHTS,2022-11,2
ARCHER HEIGHTS,2022-12,3
ARCHER HEIGHTS,2023-01,36
ARCHER HEIGHTS,2023-02,5
ARCHER HEIGHTS,2023-03,14
ARCHER HEIGHTS,2023-04,34
ARMOUR SQUARE,2020-07,24
ARMOUR SQUARE,2020-08,40
ARMOUR SQUARE,2020-09,3
ARMOUR SQUARE,2020-11,5
ARMOUR SQUARE,2021-01,10
ARMOUR SQUARE,2021-03,1
ARMOUR SQUARE,2021-04,6
ARMOUR SQUARE,2021-06,14
ARMOUR SQUARE,2021-07,3
ARMOUR SQUARE,2021-08,17
ARMOUR SQUARE,2021-09,32
ARMOUR SQUARE,2022-01,38
ARMOUR SQUARE,2022-04,37
ARMOUR SQUARE,2022-05,1
ARMOUR SQUARE,2022-06,7
ARMOUR SQUARE,2022-07,23
ARMOUR SQUARE,2022-08,20
ARMOUR SQUARE,2022-09,39
ARMOUR SQUARE,2022-10,8
ARMOUR SQUARE,2022-11,3
ARMOUR SQUARE,2022-12,7
ARMOUR SQUARE,2023-01,49
ARMOUR SQUARE,2023-02,9
ARMOUR SQUARE,2023-03,7
ARMOUR SQUARE,2023-04,47
ASHBURN,2020-07,24
ASHBURN,2020-08,40
ASHBURN,2020-09,22
ASHBURN,2020-10,1
ASHBURN,2020-11,37
ASHBURN,2021-01,30
ASHBURN,2021-03,2
ASHBURN,2021-04,32
ASHBURN,2021-05,1
ASHBURN,2021-06,19
ASHBURN,2021-07,3
ASHBURN,2021-08,25
ASHBURN,2021-09,92
ASHBURN,2021-10,1
ASHBURN,2021-11,4
ASHBURN,2021-12,15
ASHBURN,2022-01,109
ASHBURN,2022-02,18
ASHBURN,2022-03,15
ASHBURN,2022-04,97
ASHBURN,2022-05,5
ASHBURN,2022-06,43
ASHBURN,2022-07,53
ASHBURN,2022-08,39
ASHBURN,2022-09,92
ASHBURN,2022-10,20
ASHBURN,2022-11,16
ASHBURN,2022-12,18
ASHBURN,2023-01,87
ASHBURN,2023-02,6
ASHBURN,2023-03,9
ASHBURN,2023-04,114
AUBURN GRESHAM,2020-07,16
AUBURN GRESHAM,2020-08,6
AUBURN GRESHAM,2020-09,18
AUBURN GRESHAM,2020-11,17
AUBURN GRESHAM,2021-01,37
AUBURN GRESHAM,2021-03,4
AUBURN GRESHAM,2021-04,28
AUBURN GRESHAM,2021-05,1
AUBURN GRESHAM,2021-06,10
AUBURN GRESHAM,2021-07,8
AUBURN GRESHAM,2021-08,20
AUBURN GRESHAM,2021-09,37
AUBURN GRESHAM,2021-10,8
AUBURN GRESHAM,2021-11,10
AUBURN GRESHAM,2021-12,9
AUBURN GRESHAM,2022-01,52
AUBURN GRESHAM,2022-02,11
AUBURN GRESHAM,2022-03,9
AUBURN GRESHAM,2022-04,82
AUBURN GRESHAM,2022-05,3
AUBURN GRESHAM,2022-06,41
AUBURN GRESHAM,2022-07,42
AUBURN GRESHAM,2022-08,39
AUBURN GRESHAM,2022-09,71
AUBURN GRESHAM,2022-10,44
AUBURN GRESHAM,2022-11,30
AUBURN GRESHAM,2022-12,19
AUBURN GRESHAM,2023-01,58
AUBURN GRESHAM,2023-02,21
AUBURN GRESHAM,2023-03,17
AUBURN GRESHAM,2023-04,57
AUSTIN,2020-07,84
AUSTIN,2020-08,120
AUSTIN,2020-09,49
AUSTIN,2020-10,21
AUSTIN,2020-11,59
AUSTIN,2020-12,14
AUSTIN,2021-01,68
AUSTIN,2021-03,10
AUSTIN,2021-04,69
AUSTIN,2021-05,29
AUSTIN,2021-06,49
AUSTIN,2021-07,43
AUSTIN,2021-08,52
